Genotype,EnvCode,Env,Rep,Yield
STBN 22,9,LUCKNOW,1,3189.991493
STBN 22,9,LUCKNOW,2,34.37490833
STBN 22,9,LUCKNOW,3,549.9985333
STBN 23,9,LUCKNOW,1,690
STBN 23,9,LUCKNOW,2,3.437490833
STBN 23,9,LUCKNOW,3,54.99985333
STBN 24,9,LUCKNOW,1,1847.995072
STBN 24,9,LUCKNOW,2,44.83683696
STBN 24,9,LUCKNOW,3,1374.996333
STBN 25,9,LUCKNOW,1,2012.994632
STBN 25,9,LUCKNOW,2,27.49992667
STBN 25,9,LUCKNOW,3,329.99912
STBN 26,9,LUCKNOW,1,1869.995013
STBN 26,9,LUCKNOW,2,27.49992667
STBN 26,9,LUCKNOW,3,109.9997067
STBN 1,10,NDUAT,1,3999
STBN 1,10,NDUAT,2,3821
STBN 1,10,NDUAT,3,4075
STBN 2,10,NDUAT,1,2911
STBN 2,10,NDUAT,2,2576
STBN 2,10,NDUAT,3,2898
STBN 3,10,NDUAT,1,
STBN 3,10,NDUAT,2,
STBN 3,10,NDUAT,3,
STBN 4,10,NDUAT,1,2059
STBN 4,10,NDUAT,2,1841
STBN 4,10,NDUAT,3,1699
STBN 5,10,NDUAT,1,
STBN 5,10,NDUAT,2,
STBN 5,10,NDUAT,3,
STBN 6,10,NDUAT,1,
STBN 6,10,NDUAT,2,
STBN 6,10,NDUAT,3,
STBN 7,10,NDUAT,1,1425
STBN 7,10,NDUAT,2,1509
STBN 7,10,NDUAT,3,1261
STBN 8,10,NDUAT,1,2410
STBN 8,10,NDUAT,2,2715
STBN 8,10,NDUAT,3,2455
STBN 9,10,NDUAT,1,1505
STBN 9,10,NDUAT,2,1465
STBN 9,10,NDUAT,3,1498
STBN 10,10,NDUAT,1,1120
STBN 10,10,NDUAT,2,1540
STBN 10,10,NDUAT,3,1334
STBN 11,10,NDUAT,1,3685
STBN 11,10,NDUAT,2,3810
STBN 11,10,NDUAT,3,3663
STBN 12,10,NDUAT,1,3905
STBN 12,10,NDUAT,2,3718
STBN 12,10,NDUAT,3,3825
STBN 13,10,NDUAT,1,1365
STBN 13,10,NDUAT,2,1430
STBN 13,10,NDUAT,3,1556
STBN 14,10,NDUAT,1,3475
STBN 14,10,NDUAT,2,3171
STBN 14,10,NDUAT,3,3840
STBN 15,10,NDUAT,1,2298
STBN 15,10,NDUAT,2,2685
STBN 15,10,NDUAT,3,2262
STBN 16,10,NDUAT,1,1165
STBN 16,10,NDUAT,2,880
STBN 16,10,NDUAT,3,926
STBN 17,10,NDUAT,1,3885
STBN 17,10,NDUAT,2,4241
STBN 17,10,NDUAT,3,4310
STBN 18,10,NDUAT,1,2595
STBN 18,10,NDUAT,2,2390
STBN 18,10,NDUAT,3,2441
STBN 19,10,NDUAT,1,1675
STBN 19,10,NDUAT,2,1585
STBN 19,10,NDUAT,3,1915
STBN 20,10,NDUAT,1,4036
STBN 20,10,NDUAT,2,4420
STBN 20,10,NDUAT,3,4176
STBN 21,10,NDUAT,1,4325
STBN 21,10,NDUAT,2,3846
STBN 21,10,NDUAT,3,4185
STBN 22,10,NDUAT,1,2163
STBN 22,10,NDUAT,2,2505
STBN 22,10,NDUAT,3,2510
STBN 23,10,NDUAT,1,4474
STBN 23,10,NDUAT,2,4162
STBN 23,10,NDUAT,3,4310
STBN 24,10,NDUAT,1,1537
STBN 24,10,NDUAT,2,2014
STBN 24,10,NDUAT,3,1611
STBN 25,10,NDUAT,1,1724
STBN 25,10,NDUAT,2,2268
STBN 25,10,NDUAT,3,2159
STBN 26,10,NDUAT,1,3118
STBN 26,10,NDUAT,2,2790
STBN 26,10,NDUAT,3,3003
STBN 1,5,PANVEL,1,1033
STBN 1,5,PANVEL,2,963
STBN 1,5,PANVEL,3,987
STBN 2,5,PANVEL,1,2305
STBN 2,5,PANVEL,2,2381
STBN 2,5,PANVEL,3,2330
STBN 3,5,PANVEL,1,1153
STBN 3,5,PANVEL,2,1228.066
STBN 3,5,PANVEL,3,1128
STBN 4,5,PANVEL,1,1933
STBN 4,5,PANVEL,2,1879
STBN 4,5,PANVEL,3,1800
STBN 5,5,PANVEL,1,947
STBN 5,5,PANVEL,2,912.2776
STBN 5,5,PANVEL,3,947.3652
STBN 6,5,PANVEL,1,1040
STBN 6,5,PANVEL,2,1028
STBN 6,5,PANVEL,3,1003
STBN 7,5,PANVEL,1,1002
STBN 7,5,PANVEL,2,1037
STBN 7,5,PANVEL,3,1030
STBN 8,5,PANVEL,1,2336
STBN 8,5,PANVEL,2,2370
STBN 8,5,PANVEL,3,2310
STBN 9,5,PANVEL,1,742
STBN 9,5,PANVEL,2,724
STBN 9,5,PANVEL,3,797
STBN 10,5,PANVEL,1,3386
STBN 10,5,PANVEL,2,3582
STBN 10,5,PANVEL,3,3560
STBN 11,5,PANVEL,1,2154
STBN 11,5,PANVEL,2,2138
STBN 11,5,PANVEL,3,2200
STBN 12,5,PANVEL,1,3381
STBN 12,5,PANVEL,2,3302
STBN 12,5,PANVEL,3,3316
STBN 13,5,PANVEL,1,2910
STBN 13,5,PANVEL,2,2900
STBN 13,5,PANVEL,3,2963
STBN 14,5,PANVEL,1,1759
STBN 14,5,PANVEL,2,1784
STBN 14,5,PANVEL,3,1719
STBN 15,5,PANVEL,1,3157.884
STBN 15,5,PANVEL,2,3209
STBN 15,5,PANVEL,3,3280
STBN 16,5,PANVEL,1,4235
STBN 16,5,PANVEL,2,4270
STBN 16,5,PANVEL,3,4301
STBN 17,5,PANVEL,1,2872
STBN 17,5,PANVEL,2,2830
STBN 17,5,PANVEL,3,2911
STBN 18,5,PANVEL,1,2734
STBN 18,5,PANVEL,2,2714
STBN 18,5,PANVEL,3,2780
STBN 19,5,PANVEL,1,4184
STBN 19,5,PANVEL,2,4108
STBN 19,5,PANVEL,3,3990
STBN 20,5,PANVEL,1,2933
STBN 20,5,PANVEL,2,2932
STBN 20,5,PANVEL,3,2907
STBN 21,5,PANVEL,1,989
STBN 21,5,PANVEL,2,963
STBN 21,5,PANVEL,3,942
STBN 22,5,PANVEL,1,3007
STBN 22,5,PANVEL,2,3122
STBN 22,5,PANVEL,3,3082
STBN 23,5,PANVEL,1,1960
STBN 23,5,PANVEL,2,2079
STBN 23,5,PANVEL,3,2105.256
STBN 24,5,PANVEL,1,4000
STBN 24,5,PANVEL,2,4033
STBN 24,5,PANVEL,3,3988
STBN 25,5,PANVEL,1,3307
STBN 25,5,PANVEL,2,3411
STBN 25,5,PANVEL,3,3282
STBN 26,5,PANVEL,1,3458
STBN 26,5,PANVEL,2,3484
STBN 26,5,PANVEL,3,3407
STBN 1,12,TRICHY,1,2083
STBN 1,12,TRICHY,2,2036
STBN 1,12,TRICHY,3,2100
STBN 2,12,TRICHY,1,1416
STBN 2,12,TRICHY,2,1521
STBN 2,12,TRICHY,3,1620
STBN 3,12,TRICHY,1,416
STBN 3,12,TRICHY,2,450
STBN 3,12,TRICHY,3,456
STBN 4,12,TRICHY,1,1625
STBN 4,12,TRICHY,2,1810
STBN 4,12,TRICHY,3,1852
STBN 5,12,TRICHY,1,2083
STBN 5,12,TRICHY,2,2150
STBN 5,12,TRICHY,3,2250
STBN 6,12,TRICHY,1,1500
STBN 6,12,TRICHY,2,1682
STBN 6,12,TRICHY,3,1780
STBN 7,12,TRICHY,1,2083
STBN 7,12,TRICHY,2,2587
STBN 7,12,TRICHY,3,2651
STBN 8,12,TRICHY,1,2000
STBN 8,12,TRICHY,2,2310
STBN 8,12,TRICHY,3,2510
STBN 9,12,TRICHY,1,1041
STBN 9,12,TRICHY,2,1025
STBN 9,12,TRICHY,3,1026
STBN 10,12,TRICHY,1,2252
STBN 10,12,TRICHY,2,2300
STBN 10,12,TRICHY,3,2500
STBN 11,12,TRICHY,1,3123
STBN 11,12,TRICHY,2,3205
STBN 11,12,TRICHY,3,3256
STBN 12,12,TRICHY,1,3083
STBN 12,12,TRICHY,2,3085
STBN 12,12,TRICHY,3,3025
STBN 13,12,TRICHY,1,3750
STBN 13,12,TRICHY,2,3452
STBN 13,12,TRICHY,3,3560
STBN 14,12,TRICHY,1,6675
STBN 14,12,TRICHY,2,6931
STBN 14,12,TRICHY,3,7000
STBN 15,12,TRICHY,1,1458
STBN 15,12,TRICHY,2,1523
STBN 15,12,TRICHY,3,1524
STBN 16,12,TRICHY,1,415
STBN 16,12,TRICHY,2,450
STBN 16,12,TRICHY,3,456
STBN 17,12,TRICHY,1,2500
STBN 17,12,TRICHY,2,2512
STBN 17,12,TRICHY,3,2600
STBN 18,12,TRICHY,1,2291
STBN 18,12,TRICHY,2,2365
STBN 18,12,TRICHY,3,2400
STBN 19,12,TRICHY,1,2625
STBN 19,12,TRICHY,2,2540
STBN 19,12,TRICHY,3,2600
STBN 20,12,TRICHY,1,1666
STBN 20,12,TRICHY,2,1490
STBN 20,12,TRICHY,3,1500
STBN 21,12,TRICHY,1,1458
STBN 21,12,TRICHY,2,1501
STBN 21,12,TRICHY,3,1562
STBN 22,12,TRICHY,1,5208
STBN 22,12,TRICHY,2,5261
STBN 22,12,TRICHY,3,5420
STBN 23,12,TRICHY,1,1041
STBN 23,12,TRICHY,2,1042
STBN 23,12,TRICHY,3,1012
STBN 24,12,TRICHY,1,5208
STBN 24,12,TRICHY,2,5220
STBN 24,12,TRICHY,3,5521
STBN 25,12,TRICHY,1,5415
STBN 25,12,TRICHY,2,5500
STBN 25,12,TRICHY,3,5600
STBN 26,12,TRICHY,1,2958
STBN 26,12,TRICHY,2,3021
STBN 26,12,TRICHY,3,3210
