,Hangzhou_BRR,Jingzhou_BRR,Sanya_BRR,Shenzhen_BRR,Hangzhou_Chalk,Jingzhou_Chalk,Sanya_Chalk,Shenzhen_Chalk,Hangzhou_GL,Jingzhou_GL,Sanya_GL,Shenzhen_GL,Hangzhou_GLW,Jingzhou_GLW,Sanya_GLW,Shenzhen_GLW,Hangzhou_GW,Jingzhou_GW,Sanya_GW,Shenzhen_GW,Hangzhou_HRP,Jingzhou_HRP,Sanya_HRP,Shenzhen_HRP,Hangzhou_PGW,Jingzhou_PGW,Sanya_PGW,Shenzhen_PGW,Hangzhou_Thickness,Jingzhou_Thickness,Sanya_Thickness,Shenzhen_Thickness,Hangzhou_TKW,Jingzhou_TKW,Sanya_TKW,Shenzhen_TKW,Hangzhou_WGRR,Jingzhou_WGRR,Sanya_WGRR,Shenzhen_WGRR
CC89,77.83,71.33,79.82,80.16,26,0.57,8,7,9.79,10.47,10.62,9.93,3.87,4.31,4.11,3.87,2.54,2.43,2.58,2.57,68.5,61.81,70.44,69.73,5.55,-0.19,2.8,1.5,2.1,2.02,2.14,2.01,29.37,24.35,30.45,28.88,58.55,46.26,37.75,31.39
CC90,NA,77.78,78.26,77.87,NA,60.5,11,3.5,8.36,8.63,8.96,8.16,3.28,3.43,3.2,3.08,2.55,2.53,2.8,2.66,NA,65,67.5,69.91,NA,16.45,1.6,0.8,2.26,1.79,2.02,2.05,20.6,20.89,22.6,20.22,NA,36.69,11.07,46.92
CC91,NA,76.12,77.47,77.78,NA,29,4,11.5,8.35,8.9,8.87,8.32,3.51,3.49,3.41,3.27,2.38,2.6,2.6,2.56,NA,65.53,66.78,68.43,NA,11.3,1.1,3.35,2.09,1.89,2,1.99,22.81,21.28,19.93,22.35,NA,52.75,43.92,51.61
CC92,77.87,NA,NA,77.89,26,NA,NA,10.65,9,NA,NA,8.91,3.57,NA,NA,3.37,2.52,NA,NA,2.66,67.74,NA,NA,46.82,8.3,NA,NA,5.1,2.08,NA,NA,1.95,21.63,NA,NA,21.36,61.34,NA,NA,23.16
CC93,NA,NA,79.29,NA,NA,NA,1,NA,9.17,NA,10.24,9,3.54,NA,3.92,3.27,2.6,NA,2.61,2.74,NA,NA,70.05,NA,NA,NA,0.2,NA,2.08,NA,2.08,2.07,29.27,NA,28.98,NA,NA,NA,46.66,NA
CC94,80,80.2,79.3,74.12,55,7,7,34.5,8.83,8.85,8.75,8.9,3.29,3.3,3.17,3.15,2.69,2.69,2.76,2.84,69.8,68.75,69.03,62.79,16.75,2.1,1.9,9.95,2.11,1.94,2.07,1.95,23.59,23.98,25.1,23.49,51.25,35.75,50.15,11.45
CC95,79.59,77.19,79.35,77.96,47.5,23.5,15,27.5,8.75,8.89,8.86,8.9,3.26,3.2,3.14,3.13,2.7,2.79,2.82,2.86,70.13,66.17,69.82,66.7,14.5,8.25,3.2,9.4,2.11,1.94,2.02,1.96,26.3,22.06,25.35,26.12,59.21,30.19,33.88,20.06
CC96,NA,NA,85.58,78.54,NA,NA,14,88.65,8.14,NA,8.17,8.34,3.07,NA,3.01,2.98,2.67,NA,2.71,2.81,NA,NA,76.6,69.1,NA,NA,2.6,47.7,2.09,NA,1.96,1.95,23.71,NA,19.9,23.36,NA,NA,17.12,15.37
CC98,NA,80.26,NA,78.4,NA,72,NA,50,8.96,8.89,8.69,9.15,3.39,2.83,2.95,2.97,2.64,3.15,2.95,3.1,NA,67.57,NA,63.27,NA,44.45,NA,-0.6,NA,2.21,2.17,2.19,28.84,26.09,NA,28.67,NA,44.27,NA,0
CC99,78.17,76.97,78.42,77.56,17,18.5,3,57.5,8.98,8.47,8.55,8.98,3.55,2.97,2.86,3.18,2.52,2.85,2.99,2.87,68.83,65.01,63.99,67.06,4.9,4.35,0.7,17.65,2.18,1.99,2.06,1.95,26.71,24.24,25.2,26.46,64.84,28.09,84.34,38.28
CC100,81.57,NA,79.21,80.76,40,NA,15,37.5,7.89,NA,8.53,8.02,2.76,NA,2.79,2.55,2.88,NA,3.06,3.15,73.14,NA,69.58,69.12,11.4,NA,3.3,10.3,2.29,NA,2.08,2.1,25.87,NA,24.48,25.73,71.2,NA,24.44,35.46
CC101,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC102,81.5,81.04,73.14,78.48,68.5,59,41,62.5,9.3,9.39,9.34,9.4,3.18,3.07,3.04,2.98,2.94,3.07,3.08,3.16,74.11,73.28,58.55,67.73,37.6,16.1,11,16.05,2.18,2.04,2.03,1.96,28.08,26.69,25.38,27.76,54.39,49.38,22.75,21.82
CC103,NA,NA,79.94,NA,NA,NA,2,NA,NA,NA,10.23,NA,NA,NA,3.39,NA,NA,NA,3.02,NA,NA,NA,71.22,NA,NA,NA,0.3,NA,NA,NA,2.12,NA,NA,NA,29.35,NA,NA,NA,43.17,NA
CC104,NA,79.84,77.66,79.73,NA,100,33,4.5,9.51,9.81,9.64,9.31,4.02,4.04,3.71,3.59,2.39,2.43,2.6,2.61,NA,66.76,69.12,67.44,NA,NA,8.2,1.1,2.13,1.85,2.01,1.82,23.71,22.77,24.43,22.87,NA,17.87,35.69,25.78
CC105,NA,NA,77.7,78.11,NA,NA,90,NA,10.64,NA,10.6,10.62,3.7,NA,3.1,3.05,2.87,NA,3.42,3.49,NA,NA,69.7,67.91,NA,NA,NA,NA,NA,NA,2.17,2.06,NA,NA,31.4,NA,NA,NA,34.7,26.6
CC106,NA,NA,NA,78.23,NA,NA,NA,77.5,NA,NA,NA,9.83,NA,NA,NA,4.16,NA,NA,NA,2.38,NA,NA,NA,67.75,NA,NA,NA,43.6,NA,NA,NA,1.9,NA,NA,NA,24.17,NA,NA,NA,19.88
CC107,NA,NA,78.4,NA,NA,NA,4,NA,9.01,NA,9.27,9.11,4.1,NA,3.83,4.06,2.2,NA,2.42,2.23,NA,NA,68.05,NA,NA,NA,1,NA,1.88,NA,1.88,1.87,21.03,NA,20.93,NA,NA,NA,30.3,NA
CC108,76.5,72.64,77.95,77.54,24.5,36.5,3,48.65,9.14,9.36,10.25,8.93,3.77,4.37,3.31,3.59,2.43,2.15,3.09,2.5,54.08,62.71,68.91,49.89,8.35,11.1,0.7,21.8,1.99,1.76,2.16,1.84,21.78,20.62,28.75,21.36,44.75,35.29,34.5,17.97
CC109,NA,NA,NA,78.28,NA,NA,38,44.5,8.05,NA,8.11,7.92,3.29,NA,2.9,2.85,2.45,NA,2.8,2.79,NA,NA,38.95,68.05,NA,NA,10.4,13.3,2.25,NA,1.94,1.88,NA,NA,16.45,21.81,NA,NA,10.89,33.18
CC110,NA,NA,81.58,79.46,NA,NA,49,58,8.44,NA,8.33,8.48,2.91,NA,2.53,2.5,2.87,NA,3.29,3.4,NA,NA,72.2,68.99,NA,NA,16.6,16.5,NA,NA,2.3,2.2,NA,NA,28.05,32.48,NA,NA,14.89,43.38
CC111,81.43,80.62,79.38,77.41,77.5,59.43,86,73,8.3,8.55,8.27,8.45,2.86,2.98,2.61,2.77,2.91,2.86,3.17,3.06,73.59,68.99,70.25,68.28,25.05,16.49,21.6,19.6,2.16,1.94,2.15,1.96,27.33,24.56,25.7,27.03,62.08,26.66,34.81,36.57
CC112,NA,76.17,NA,NA,NA,59.43,NA,NA,NA,8.52,NA,NA,NA,3.49,NA,NA,NA,2.44,NA,NA,NA,65.38,NA,NA,NA,23.09,NA,NA,NA,2,NA,NA,NA,19.98,NA,NA,NA,53.18,NA,NA
CC113,79,80.03,76.36,75.96,71.5,7,22,18,8.88,8.9,8.74,9.04,3.44,3.11,3.21,3.22,2.59,2.89,2.72,2.82,70.08,70.73,67.46,66.7,27.2,1.9,4.5,4.05,2.05,1.97,1.91,1.85,25,23.17,24.7,24.81,65.77,44.41,50.82,30.59
CC114,NA,NA,79.53,78.42,NA,NA,61,29,8.6,NA,8.6,8.53,3.01,NA,2.56,2.67,2.84,NA,3.35,3.21,NA,NA,70.94,69.6,NA,NA,11.7,4.85,NA,NA,2.16,2.07,NA,NA,27.13,28.06,NA,NA,60.56,45.61
CC115,NA,NA,NA,NA,18.5,NA,NA,NA,9.41,NA,NA,9.51,3.68,NA,NA,3.59,2.55,NA,NA,2.63,NA,NA,NA,NA,5.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC116,79.13,81.11,77.54,74.4,66,35.5,49,33,9.41,9.49,9.62,9.46,3.49,3.59,3.05,3.36,2.7,2.65,3.15,2.83,70.52,68.84,67.07,61.12,25.15,9.95,12.8,12.15,2.09,1.85,2.11,1.93,27.31,25.32,28,27.09,57.94,49.58,22.6,10.6
CC119,77.03,80.01,77.21,78.2,11,42.57,40,22.5,9.54,8.24,9.75,9.45,3.8,3.03,3.41,3.56,2.51,2.73,2.86,2.67,67.01,69.98,66.94,69.68,2.9,10.31,8.6,5.4,2.13,2.04,2.1,1.98,26.02,22.82,26.5,25.8,64.16,65.26,45.94,14.4
CC120,82.63,81.28,80.46,79.08,65.5,15,15,82,8.76,8.73,8.88,8.77,2.83,2.93,2.63,2.72,3.1,2.98,3.38,3.23,74.26,72.3,71.69,68.95,24.6,2.6,2.9,40.8,2.33,2.17,2.29,2.12,29.52,27.76,29.08,29.28,54.55,48.55,41.76,61.84
CC121,77.87,81.84,80.34,80.13,NA,67,25,83.5,8.18,8.05,7.96,8.33,3.12,3.1,2.64,2.8,2.61,2.61,3.02,2.99,53.21,69.04,70.62,69.84,NA,17.55,5.8,36.4,2.46,2.01,2.05,2.1,26.03,24.21,22.03,25.51,0.54,30.3,32.7,65.4
CC122,76.87,80.22,79.8,78.16,69,5.5,13,17,8.8,8.8,NA,8.92,3.24,3.53,NA,3.29,2.72,2.5,NA,2.72,69.09,70.86,72.53,69.76,18.65,1.05,3.2,4.25,2.07,1.95,NA,1.94,23.14,22.43,24.13,22.96,65,68.87,40.38,68.99
CC123,76.36,79.78,77.18,76.91,60.5,37,17,8,9.36,9.46,9.28,9.47,3.51,3.48,3.15,3.33,2.67,2.72,2.95,2.85,67.08,67.13,66.57,66.4,19.9,12.1,5,3.1,2.18,1.97,2.15,2.02,26.3,25.33,26.13,25.97,50.6,36.24,28.71,65
CC124,74.74,80.21,80.18,79.95,61.5,34.5,80,79.5,9.01,8.86,8.52,9.1,3.66,3.13,2.78,3.39,2.47,2.83,3.07,2.72,67.66,69.19,72,70.08,24.55,8.35,17.5,31,2.19,2.08,2.04,2.02,26.98,24.93,25.1,26.73,51.52,40.17,47.34,68.18
CC125,NA,NA,77.31,NA,NA,NA,0,NA,NA,NA,7.92,NA,NA,NA,2.95,NA,NA,NA,2.69,NA,NA,NA,66.29,NA,NA,NA,0,NA,NA,NA,1.85,NA,NA,NA,18.03,NA,NA,NA,44.96,NA
CC126,NA,81.11,78.22,NA,NA,61.57,87,NA,7.81,8.33,8.14,7.88,2.96,2.97,2.72,2.86,2.65,2.81,3,2.74,NA,71.22,69.23,NA,NA,13.91,19.1,NA,1.94,1.93,1.94,1.93,21.8,20.67,21.53,NA,NA,49.74,52.45,NA
CC127,NA,NA,NA,NA,16.5,NA,NA,NA,9.52,NA,NA,9.62,3.87,NA,NA,3.78,2.45,NA,NA,2.53,NA,NA,NA,NA,4.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.86,NA,NA,NA,NA
CC128,NA,NA,NA,78.4,NA,NA,87,73,9.03,NA,8.85,9.13,3.66,NA,3.18,3.17,2.48,NA,2.78,2.89,NA,NA,34.18,69.56,NA,NA,52.1,25.65,2.43,NA,2.02,2.14,NA,NA,19.6,26.99,NA,NA,10.75,34.21
CC129,NA,NA,79.02,NA,NA,NA,0,NA,NA,NA,10.42,NA,NA,NA,4.03,NA,NA,NA,2.59,NA,NA,NA,69.5,NA,NA,NA,0,NA,NA,NA,1.96,NA,NA,NA,26.68,NA,NA,NA,58.2,NA
CC130,76.2,79.36,78.2,77.56,74.5,50.57,96,96,7.78,8.25,7.77,7.9,2.61,2.71,2.39,2.45,2.99,3.05,3.25,3.24,4.23,68.46,68.54,68.67,32.45,9.91,28.5,37.7,2.25,2.03,2.14,2.02,24.29,21.15,22.3,23.98,4.15,47.72,25.77,34.26
CC131,NA,NA,75.56,78.71,NA,NA,14,13.65,8.4,NA,8.28,8.45,3.13,NA,2.68,2.81,2.68,NA,3.1,3.02,NA,NA,66.76,70.87,NA,NA,4.2,1.9,NA,NA,2.1,2.19,NA,NA,22.55,27.21,NA,NA,26.9,63.8
CC132,NA,NA,77.79,79.05,NA,NA,8,0,7.98,NA,7.9,8,3.41,NA,3.09,3.05,2.35,NA,2.56,2.64,NA,NA,67.6,70.73,NA,NA,2.1,0,2.19,NA,1.98,1.91,NA,NA,19.03,20.43,NA,NA,33.8,35.34
CC133,NA,NA,79.98,78.48,NA,NA,87,93.5,7.82,NA,7.69,7.87,2.99,NA,2.55,2.66,2.6,NA,3.01,2.97,NA,NA,70.59,69.49,NA,NA,42.1,58.6,2.41,NA,2.04,2.02,NA,NA,22.1,22.3,NA,NA,51.51,50.46
CC134,90.9,NA,78.41,77.58,16,NA,31,5,9.16,NA,8.71,8.98,3.49,NA,2.8,3.33,2.62,NA,3.12,2.71,80.55,NA,69.44,67.52,5,NA,5.3,1.4,2.14,NA,2.11,2,24.06,NA,24.68,23.66,77.6,NA,30.46,46.1
CC135,79.07,NA,NA,78.64,19,NA,NA,2.65,9.71,NA,NA,10.02,3.71,NA,NA,3.78,2.62,NA,NA,2.65,70.86,NA,NA,68.87,6.1,NA,NA,0.2,2.18,NA,NA,2.08,27.83,NA,NA,27.93,68.13,NA,NA,52.39
CC136,77.88,NA,NA,80.91,19,NA,NA,86.65,9.06,NA,NA,8.94,3.46,NA,NA,3.03,2.62,NA,NA,3.02,69.09,NA,NA,68.74,5.4,NA,NA,21.4,2.36,NA,NA,2.31,31.45,NA,NA,31.21,64.73,NA,NA,61.55
CC137,NA,NA,NA,79.18,NA,NA,NA,16.5,NA,NA,NA,8.62,NA,NA,NA,3.03,NA,NA,NA,2.86,NA,NA,NA,69.95,NA,NA,NA,2.75,NA,NA,NA,1.96,NA,NA,NA,21.59,NA,NA,NA,35.06
CC138,NA,NA,NA,NA,NA,NA,NA,NA,8.31,NA,8.94,8.29,3.39,NA,3.44,3.25,2.45,NA,2.6,2.53,NA,NA,NA,NA,NA,NA,NA,NA,2.01,NA,2.01,2,23.99,NA,23.58,NA,NA,NA,NA,NA
CC139,NA,NA,82.05,80.35,NA,NA,57,45.5,8.41,NA,8.36,8.38,3.12,NA,2.69,2.81,2.68,NA,3.11,3,NA,NA,75.32,70.98,NA,NA,15.2,7.7,2.39,NA,2.09,1.95,NA,NA,24.98,27.49,NA,NA,44.06,36.19
CC140,NA,NA,79.49,80.61,NA,NA,51,40.65,8.88,NA,8.56,9.13,3.07,NA,2.57,3.12,2.88,NA,3.34,2.94,NA,NA,37,71.37,NA,NA,16.1,8.9,2.47,NA,2.26,2.18,NA,NA,27.58,30.16,NA,NA,15.94,64.73
CC141,NA,NA,76.23,78.94,NA,NA,97,84.65,8.81,NA,8.88,8.67,3.54,NA,3.22,3.52,2.5,NA,2.76,2.48,NA,NA,65.9,70.36,NA,NA,43.5,19.5,2.1,NA,2.08,1.88,NA,NA,24.65,23.86,NA,NA,21.34,63.51
CC142,78.33,79,77.8,NA,14,69,15,NA,9.3,9.51,9.25,9.51,3.63,3.53,2.87,3.74,2.56,2.7,3.22,2.53,69.73,61.78,66.64,NA,3.7,41.35,4.5,NA,2.07,2.08,2.06,2.06,26.6,26.93,26.55,NA,67.32,32.37,29.76,NA
CC143,78.27,NA,NA,80.37,14,NA,NA,70.65,9.17,NA,NA,9.16,3.64,NA,NA,3.28,2.52,NA,NA,2.82,70.11,NA,NA,65.7,4.1,NA,NA,21.3,2.39,NA,NA,2.24,31.3,NA,NA,30.96,67.31,NA,NA,59.06
CC144,80.15,NA,79.56,81.16,20,NA,82,83.35,9.11,NA,8.99,9.21,3.85,NA,3.34,3.76,2.35,NA,2.7,2.43,72.01,NA,71.25,72.24,5.7,NA,25.7,17.5,2.14,NA,2.06,2.05,24.17,NA,27.4,23.92,60.12,NA,57.17,7.1
CC145,77.89,79,77.19,78.67,18,18.5,3,47.65,9.2,9.49,9.27,9.28,3.83,4,3.41,3.83,2.4,2.37,2.72,2.43,68.27,68.55,67.04,69.02,6.1,4.5,1,16.1,1.98,1.88,2,1.88,25.85,22.85,23.85,25.41,56.49,55.28,40.8,60.02
CC146,80.57,79.08,77.42,78.13,67.5,69,71,81.35,8.11,8.08,8.41,8.19,2.75,2.77,2.5,2.68,2.95,2.92,3.37,3.04,70.53,66.97,67.2,66.63,25.9,21.7,15.7,26.1,2.07,2,2.21,2.06,28.89,23.69,28.5,28.47,50.06,38.84,27.48,7.1
CC147,NA,80.48,75.09,NA,NA,68.5,29,NA,8.53,8.54,8.57,8.7,3.23,3.15,2.62,3.28,2.64,2.72,3.27,2.63,NA,65.1,64.42,NA,NA,30.7,6,NA,2.03,2.02,2.05,2.02,23.29,23.07,23.05,NA,NA,44.58,29.32,NA
CC148,81.7,NA,70.18,NA,39,NA,10,NA,8.18,NA,8.69,8.19,3.12,NA,3.06,2.98,2.63,NA,2.84,2.74,72.23,NA,58.88,NA,13.5,NA,2.8,NA,2,NA,2,1.99,18.74,NA,18.28,NA,68.18,NA,23.58,NA
CC149,NA,NA,78.2,NA,NA,NA,56,NA,NA,NA,7.93,NA,NA,NA,2.52,NA,NA,NA,3.14,NA,NA,NA,70.58,NA,NA,NA,17.2,NA,NA,NA,2.19,NA,NA,NA,23.68,NA,NA,NA,19.39,NA
CC150,82.34,80.4,NA,NA,74.5,66,NA,NA,7.67,8.1,NA,7.88,2.72,2.64,NA,2.76,2.82,3.09,NA,2.84,72.42,65.89,NA,NA,38.95,33.45,NA,NA,2.17,2.18,NA,2.16,25.82,25.43,NA,NA,67.27,32.1,NA,NA
CC151,NA,NA,78.18,77.69,NA,NA,93,NA,NA,NA,9.59,NA,NA,NA,3.16,NA,NA,NA,3.04,NA,NA,NA,68.68,68.46,NA,NA,NA,NA,NA,NA,2.19,NA,NA,NA,33.48,29.15,NA,NA,20.05,7.1
CC153,NA,NA,80.75,79.96,NA,NA,16,2,8.43,NA,8.4,8.39,3.75,NA,3.46,3.62,2.27,NA,2.43,2.33,NA,NA,72.39,71.32,NA,NA,3.4,0.8,1.98,NA,1.95,1.79,NA,NA,26.5,20.99,NA,NA,41.75,35.98
CC154,NA,NA,74.55,78.33,NA,NA,7,0,9.49,NA,9.07,9.85,4.36,NA,4.01,4.66,2.21,NA,2.26,2.13,NA,NA,63.03,68.6,NA,NA,1.9,0.1,1.85,NA,1.99,1.73,NA,NA,30.33,24.94,NA,NA,13.83,67.56
CC155,NA,82.07,73.6,NA,NA,64,88,NA,NA,8.29,8.3,NA,NA,2.87,2.69,NA,NA,2.89,3.08,NA,NA,72.34,47.91,NA,NA,25.55,18.2,NA,NA,2.07,1.92,NA,NA,22.93,29.95,NA,NA,39.87,4.01,NA
CC156,NA,NA,78.72,79.48,NA,NA,5,4,10.26,NA,9.98,10.46,4.56,NA,4.12,4.44,2.28,NA,2.43,2.37,NA,NA,71.71,70.54,NA,NA,1.4,0.7,1.97,NA,1.97,1.75,NA,NA,34.48,27.87,NA,NA,63.57,35.25
CC157,NA,NA,72.11,80.41,NA,NA,87,65,8.07,NA,7.95,8.36,2.82,NA,2.54,2.89,2.88,NA,3.13,2.91,NA,NA,62.73,70.27,NA,NA,28,15.8,2.11,NA,1.99,1.97,NA,NA,29.95,26.44,NA,NA,17.92,69.38
CC158,82.3,80.44,79.46,NA,63.5,61,91,NA,7.88,8.26,7.82,8.09,2.72,2.6,2.48,2.65,2.9,3.18,3.15,3.04,72.63,70.54,68.1,NA,32.2,27.75,35,NA,2.14,2.16,2.12,2.13,32.25,24.91,31.78,NA,67.2,38.94,19.59,NA
CC161,NA,72.88,76.75,78.06,NA,70.57,93,100,7.69,8.08,7.5,7.82,2.5,2.42,2.08,2.57,3.03,3.35,NA,3.06,NA,65.62,67.96,67.94,NA,35.21,39.6,54.75,2.49,2.12,2.29,2.1,NA,22,27.9,28.28,NA,60.63,56.76,24.27
CC162,NA,NA,NA,NA,13.5,NA,NA,NA,9.41,NA,NA,9.51,3.83,NA,NA,3.74,2.45,NA,NA,2.53,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC163,79.27,75.11,NA,NA,14,56.57,NA,NA,9.09,8.96,NA,9.31,3.61,3.29,NA,3.65,2.52,2.72,NA,2.53,70.96,65.16,NA,NA,3.75,14.01,NA,NA,2.02,2.02,NA,2.01,23.81,23.47,NA,NA,66.63,40.31,NA,NA
CC164,77.95,80.37,NA,77.87,22.5,50.43,NA,NA,9.24,8.62,NA,9.29,3.67,3.3,NA,3.51,2.52,2.61,NA,2.66,69.42,69.74,NA,66.91,6.3,11.69,NA,NA,2.1,1.96,NA,1.94,27.78,24.68,NA,27.53,66.15,55.74,NA,-7.1
CC165,NA,NA,78.6,78.67,NA,NA,44,31.5,8.78,NA,8.65,8.84,3.71,NA,3.24,3.36,2.38,NA,2.67,2.64,NA,NA,72.12,68.9,NA,NA,12.4,7.1,2.16,NA,1.93,1.85,27.86,NA,25.93,27.62,NA,NA,54.74,34.24
CC167,NA,NA,NA,78.89,NA,NA,NA,4.35,NA,NA,NA,10.16,NA,NA,NA,4.33,NA,NA,NA,2.36,NA,NA,NA,66.3,NA,NA,NA,0.9,NA,NA,NA,1.94,NA,NA,NA,25.35,NA,NA,NA,68.2
CC168,NA,NA,NA,NA,23.5,NA,NA,NA,9.41,NA,NA,9.51,3.83,NA,NA,3.74,2.45,NA,NA,2.53,NA,NA,NA,NA,8.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC169,NA,80.6,80.05,NA,NA,100,33,NA,8.02,8.41,8.37,8.09,3,2.91,3.01,2.83,2.69,2.89,2.78,2.84,NA,69.15,72.77,NA,NA,NA,7.3,NA,2.07,2.11,1.99,2.06,23.71,22.97,23.25,NA,NA,27.64,34.18,NA
CC170,77.8,NA,NA,79.84,16,NA,NA,64.65,9.12,NA,NA,8.84,3.62,NA,NA,3.24,2.52,NA,NA,2.77,68.51,NA,NA,71.69,5.15,NA,NA,18.1,2.16,NA,NA,1.99,28.84,NA,NA,28.63,65.28,NA,NA,65.05
CC171,NA,NA,78.33,78.73,NA,NA,65,7.35,NA,NA,8.89,NA,NA,NA,3.29,NA,NA,NA,2.7,NA,NA,NA,65.79,70.7,NA,NA,15.6,1.5,NA,NA,2.06,NA,NA,NA,26.48,26.47,NA,NA,38.22,7.1
CC172,NA,NA,NA,79.31,NA,NA,NA,3,NA,NA,NA,8.25,NA,NA,NA,3.37,NA,NA,NA,2.46,NA,NA,NA,70.61,NA,NA,NA,0.8,NA,NA,NA,1.72,NA,NA,NA,22.93,NA,NA,NA,69.44
CC173,NA,NA,NA,79.47,NA,NA,35,41.5,8.63,NA,8.51,8.68,3.5,NA,2.98,3.24,2.47,NA,2.86,2.7,NA,NA,39.28,68.94,NA,NA,10.9,10.45,2.19,NA,1.93,1.86,NA,NA,20.48,25.83,NA,NA,1.86,67.65
CC174,NA,NA,NA,NA,17,NA,NA,NA,9.62,NA,NA,9.72,3.76,NA,NA,3.67,2.55,NA,NA,2.63,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CC175,NA,79.45,79.16,NA,NA,100,96,NA,NA,8.26,8.14,NA,NA,3.04,2.67,NA,NA,2.73,3.05,NA,NA,65.71,69.51,NA,NA,57,34.8,NA,NA,2.06,2.25,NA,NA,24.14,26.75,NA,NA,46.82,35.58,NA
CC176,NA,NA,NA,80.81,NA,NA,NA,94.5,NA,NA,NA,7.88,NA,NA,NA,2.77,NA,NA,NA,2.86,NA,NA,NA,72.25,NA,NA,NA,39.75,NA,NA,NA,2.18,NA,NA,NA,31.43,NA,NA,NA,36.02
CC177,NA,NA,78.4,78.58,NA,NA,81,95,7.85,NA,7.15,8.12,2.92,NA,2.97,2.73,2.74,NA,2.41,2.99,NA,NA,68.83,68.75,NA,NA,23.4,43.65,2,NA,1.53,1.87,27.21,NA,25.1,27.34,NA,NA,18.89,68.47
CC179,80.67,79.27,74.72,76.77,61.5,49.43,100,88.65,7.87,8.2,8.13,8.13,2.77,2.79,2.71,2.69,2.86,2.94,3,3.03,61.92,69.07,63.29,65.84,17,11.19,32.6,44.3,2.16,2.06,2.03,1.98,26.96,24.81,23.23,26.86,55.36,63.87,30.04,59.2
CC180,NA,80.61,78.44,76.41,NA,60,76,85.65,NA,8.71,8.7,NA,NA,2.82,2.86,NA,NA,3.1,3.04,NA,NA,69.04,67.18,61.26,NA,29.5,20.9,44.7,NA,2.13,2.12,NA,NA,27.72,26.15,28.13,NA,42.2,25.14,43.39
CC182,NA,NA,68.05,78,NA,NA,9,7,9.68,NA,NA,9.58,NA,NA,NA,4.37,NA,NA,NA,2.21,NA,NA,57.16,69.6,NA,NA,2.6,0.85,NA,NA,NA,1.65,NA,NA,21.1,27.82,NA,NA,21.98,34.79
CC183,NA,77.67,75.79,79.17,NA,57.5,0,52.65,8.32,8.08,7.99,8.58,3.36,2.91,2.9,3.08,2.48,2.78,2.75,2.8,NA,64.22,65.14,68.14,NA,22.55,0,19.4,2.19,1.95,2.04,1.75,NA,20.98,20.7,30.63,NA,19.33,23.12,59.79
CC184,NA,80.77,79.78,NA,NA,59.5,52,NA,NA,7.81,7.87,NA,NA,2.94,2.7,NA,NA,2.67,2.92,NA,NA,66.76,69.45,NA,NA,23.05,10.1,NA,NA,1.92,2.09,NA,NA,21.96,24.75,NA,NA,40.53,20.14,NA
CC185,NA,79.59,77.68,79.97,NA,67,48,58.65,7.45,7.25,8.26,7.72,2.78,2.43,2.97,2.94,2.7,2.99,2.79,2.66,NA,67.44,66.46,70.32,NA,35.85,13.5,15.3,2.02,2.02,2.07,1.89,22.74,21.34,24.33,22.61,NA,36.27,30.02,59.79
CC186,NA,NA,NA,78.98,NA,NA,NA,64.5,NA,NA,NA,7.54,NA,NA,NA,2.37,NA,NA,NA,3.19,NA,NA,NA,65,NA,NA,NA,22.4,NA,NA,NA,2.1,NA,NA,NA,25.66,NA,NA,NA,30.52
CC187,NA,NA,76.92,79.26,NA,NA,14,7.35,10.05,NA,9.86,10.17,4.31,NA,3.9,4,2.35,NA,2.53,2.56,NA,NA,66.11,70.94,NA,NA,2.4,1.3,2.14,NA,2.02,1.89,NA,NA,29.53,30.88,NA,NA,27,34.46
CC188,NA,72.58,79.9,78.79,NA,54,40,88.35,NA,8.85,8.61,NA,NA,3.12,3.01,NA,NA,2.84,2.86,NA,NA,57.31,68.59,67.83,NA,28,10.6,46.1,NA,2.05,2.24,NA,NA,24,28.53,28.65,NA,11.82,31.08,73.93
CC189,NA,NA,68.95,75.03,NA,NA,100,NA,NA,NA,9.32,NA,NA,NA,3.72,NA,NA,NA,2.5,NA,NA,NA,58.06,65.74,NA,NA,NA,NA,NA,NA,1.92,NA,NA,NA,21.9,22.17,NA,NA,25.1,71.14
CC190,NA,79.83,NA,NA,NA,14,NA,NA,8.17,8.51,8.38,8.29,3.53,3.53,3.14,3.53,2.32,2.41,2.67,2.33,NA,69.74,NA,NA,NA,3.95,NA,NA,1.86,1.83,1.92,1.85,18.82,18.63,NA,NA,NA,62.73,NA,NA
