METNo,Module,FLW,MAT,AHT,ATIL,PACP,NOPH,MC,Plot Yield,P&D,AYLD,Tons/ha,Set
MT4171,1,84,114,114.8,17.4,5,183,16.2,4660,,4565.6,6.2,7
MT4280,1,90,120,102.8,17.8,5,184,16.8,5109,,4942.66,6.72,7
MT4094,1,88,118,100.6,15.6,5,184,8.3,3758,,4007.08,5.44,7
MT4050,1,82,112,113.6,18.4,5,184,11.6,4487,,4612.22,6.27,7
MT4213,1,87,117,112.8,19.2,7,183,12.3,3677,,3770.17,5.12,7
MT4553,1,88,118,134.2,14.8,7,182,15.8,3792,,3753.43,5.1,7
MT4248,1,88,118,99,20.2,5,180,17.6,4530,,4436.82,6.03,7
MT4546,1,89,119,117.8,18.8,3,181,8.5,4016,,4343.66,5.9,7
MT4634,1,86,116,103.8,16,5,178,16.2,4981,,5017.18,6.82,7
MT4066,1,90,120,108,16.8,3,183,9.8,5118,,5397.28,7.33,7
MT4604,1,86,116,108.8,16.2,5,179,16,4343,,4360.49,5.92,7
MT4543,1,87,117,107.8,18.4,5,183,15.9,4381,,4307.62,5.85,7
MT4161,1,87,117,113.8,21.2,3,176,9.4,3486,,3839.39,5.22,7
MT4055,1,85,115,101.2,23.4,7,183,17,4284,,4157.15,5.65,7
MT4049,1,88,118,98.4,18.2,5,182,8.9,3977,,4259.14,5.79,7
MT4903,1,86,116,99.6,21.2,5,184,8.9,3887,,4117.51,5.59,7
MT4904,1,93,123,108.4,17.6,5,171,9.8,4445,,5016.51,6.82,7
MT4779,1,87,117,104.8,18.8,5,183,8.5,4002,,4281.21,5.82,7
MT4138,1,87,117,91.6,15.2,7,183,11.3,4761,,4937.31,6.71,7
MT4902,1,82,112,94,24.4,9,181,11.2,3798,,3986.66,5.42,7
MT4180,1,87,117,101,18.2,7,184,18.2,3466,,3296.73,4.48,7
MT4299,1,89,119,105.2,15.6,5,182,11.1,3501,,3658.83,4.97,7
MT4567,1,84,114,103.8,22.4,7,184,16.4,4846,,4710.76,6.4,7
MT4284,1,82,112,87.8,17.6,7,182,10.6,3490,,3667.84,4.98,7
MT4536,1,87,117,100,21,7,178,11.8,3910,,4145.19,5.63,7
MT4297,1,88,118,98.8,17.8,5,182,12.5,4326,,4449.82,6.05,7
MT4641,1,88,118,95.6,18,5,183,16.5,4933,,4815.77,6.54,7
MT4249,1,88,118,90,19.8,5,180,8.3,3808,,4150.62,5.64,7
MT4110,1,87,117,101.6,20.4,7,181,18.2,4635,,4481.71,6.09,7
MT4712,1,86,116,94.8,14.6,7,178,11.9,3793,,4016.6,5.46,7
MT4154,1,88,118,102.4,18,3,182,8.6,3740,,4018.52,5.46,7
MT4152,1,84,114,101.2,13.8,5,182,11.4,4119,,4290.16,5.83,7
MT4289,1,90,120,102.2,17,3,181,13.1,3797,,3900.33,5.3,7
MT4133,1,86,116,106,13.4,5,182,10.8,3981,,4174.51,5.67,7
MT4237,1,89,119,105,12.4,5,182,8.7,4168,,4473.49,6.08,7
MT4547,1,87,117,87.2,18.2,5,174,11.1,4106,,4488.39,6.1,7
MT4018,1,89,119,92,21.2,3,179,11.6,3012,,3182.54,4.32,7
MT4220,1,87,117,95.4,20.2,5,176,11.5,4005,,4308.76,5.85,7
MT4809,1,90,120,105.4,14.8,1,171,9,3960,,4508.79,6.13,7
MT4324,1,87,117,96,15.4,3,177,10.6,3835,,4144.28,5.63,7
MT4536,1,86,116,101.6,14.8,3,178,11.7,3915,,4155.2,5.65,7
MT4146,1,88,118,110,12.4,5,179,13.2,4097,,4250.62,5.78,7
MT4094,1,89,119,96.4,11,5,180,9.6,3863,,4150.88,5.64,7
MT4018,1,88,118,94.4,15.4,1,181,8.9,4484,,4828.64,6.56,7
MT4053,1,88,118,101,19,5,184,9.6,4279,,4497.93,6.11,7
MT4902,1,81,111,96.4,16.8,7,178,11.5,3834,,4078.45,5.54,7
MT4648,1,88,118,115.4,15.8,3,182,9.2,3634,,3878.99,5.27,7
MT4049,1,86,116,100.6,16.4,3,183,7.8,3478,,3749.12,5.09,7
MT4179,1,87,117,108.6,16.8,5,181,9.6,3530,,3772.11,5.13,7
MT4257,1,87,117,100.4,16.8,3,179,10,3751,,4035.11,5.48,7
MT4567,1,84,114,100.6,20.4,5,180,10,4025,,4305.81,5.85,7
MT4152,1,87,117,104.6,15.4,5,181,8.6,4265,,4607.93,6.26,7
MT4639,1,83,113,100.4,16.6,5,182,8.3,3983,,4293.66,5.83,7
MT4194,1,87,117,108.6,16.8,5,176,10.6,3673,,3991.77,5.42,7
MT4903,1,87,117,104.6,17,3,180,9.6,3499,,3759.75,5.11,7
MT4206,1,89,119,103.6,18.8,5,179,8.4,3534,,3869.26,5.26,7
MT4004,1,88,118,99.8,22.4,5,180,11.8,5156,,5405.41,7.34,7
MT4217,1,84,114,108,25.2,5,177,9.9,3775,,4111.38,5.59,7
MT4019,1,88,118,97.6,26,3,176,10,3148,,3444.16,4.68,7
MT4133,1,84,114,113.8,19.8,5,178,14.4,3210,,3302.77,4.49,7
MT4008,1,85,115,101.8,23.4,5,182,12.5,5083,,5228.49,7.1,7
MT4297,1,86,116,107.8,23,5,182,10.6,4750,,4992.05,6.78,7
MT4634,1,85,115,109,28.6,5,176,18,4879,,4863.53,6.61,7
MT4054,1,90,120,96,21.4,5,179,12.6,4710,,4920.38,6.69,7
MT4243,1,90,120,111.8,16,5,183,9.5,4306,,4556.08,6.19,7
MT4779,1,88,118,104.8,19.6,5,177,9.2,4401,,4830.4,6.56,7
MT4722,1,89,119,98.6,17.4,7,172,10.5,4469,,4975.36,6.76,7
MT4248,1,88,118,97.2,15.4,7,176,10.5,4388,,4774.15,6.49,7
MT4285,1,92,122,96.8,16.4,5,176,10,3942,,4312.86,5.86,7
MT4017,1,90,120,102,16.2,5,182,10.9,4257,,4458.92,6.06,7
MT4232,1,86,116,108.4,22.4,5,176,9.8,4600,,5043.95,6.85,7
MT4249,1,88,118,100.2,15.6,5,173,9,4016,,4519.69,6.14,7
MT4756,1,88,118,100,15.6,5,171,9.4,3840,,4352.94,5.91,7
MT4137,1,88,118,93.8,19.2,5,178,9,3677,,4021.93,5.46,7
MT4556,1,83,113,96.6,19,5,182,9.1,3763,,4021.11,5.46,7
MT4640,1,84,114,101.8,16.2,7,176,7.9,4305,,4819.92,6.55,7
MT4299,1,89,119,104.8,16.6,5,177,9.3,3526,,3865.77,5.25,7
MT4574,1,86,116,104.6,20.6,7,184,6.8,2110,,2286.65,3.11,7
MT4241,1,88,118,96.8,17.8,5,172,9.7,4303,,4833.37,6.57,7
MT4066,1,88,118,105,19,5,178,9.2,4952,,5404.63,7.34,7
MT4041,1,83,113,101.6,14.4,5,183,8.8,4111,,4383.39,5.96,7
MT5211,1,78,108,105.8,19,5,183,7.8,3555,,3832.12,5.21,7
MT4196,1,87,117,106.4,21,5,179,9.7,3832,,4135.99,5.62,7
MT4055,1,82,112,103.4,15.8,5,177,15.7,4400,,4483.59,6.09,7
MT4622,1,87,117,105,18,5,176,7.7,4281,,4803.45,6.53,7
MT4604,1,84,114,105,13.2,5,164,10.9,3994,,4642.6,6.31,7
MT4554,1,83,113,92.2,10,5,166,15.8,4385,,4758.75,6.47,7
MT4284,1,82,112,96.8,13.8,3,173,13.8,4112,,4383.63,5.96,7
MT4280,1,90,120,93.2,15.4,3,180,10.5,4528,,4817,6.54,7
MT4641,1,83,113,103.2,15.8,3,180,15,5430,,5486.12,7.45,7
MT4026,1,81,111,109.6,13.8,3,177,15.5,4209,,4299.14,5.84,7
MT4543,1,87,117,107.2,10.6,3,182,11.1,4354,,4550.28,6.18,7
MT4209,1,81,111,109.2,11.6,5,181,13,4261,,4381.99,5.95,7
MT4268,1,88,118,90.6,16.6,3,178,7.9,4203,,4652.84,6.32,7
MT4154,1,90,120,110,14.6,3,175,9.4,3862,,4277.81,5.81,7
MT4320,1,88,118,113,14.2,5,172,8.3,3890,,4437.21,6.03,7
MT4220,1,87,117,115,14.4,5,181,9.5,3677,,3933.53,5.34,7
MT4706,1,84,114,100.8,15.8,5,180,9,4011,,4338.51,5.89,7
MT4110,1,83,113,104,18.6,5,179,9.7,4121,,4447.92,6.04,7
MT4201,1,92,122,97.4,19.8,7,178,8.3,3553,,3916.19,5.32,7
MT4553,1,88,118,129.2,16,5,177,8.8,3407,,3755.89,5.1,7
MT4171,1,87,117,112.4,14.2,5,175,9.9,4273,,4706.94,6.4,7
MT4226,1,87,117,103.4,21.2,5,170,9.1,4232,,4841.5,6.58,7
MT4234,1,92,122,109.8,17.6,3,169,9.7,4341,,4962.61,6.74,7
MT4737,1,88,118,92,18,5,166,9.6,4446,,5180.23,7.04,7
MT4276,1,92,122,114.4,16,5,182,8.8,4500,,4824.53,6.56,7
MT4195,1,84,114,109,19.8,5,177,9.9,3151,,3431.78,4.66,7
MT4547,1,85,115,97.8,18,5,180,8,4530,,4953.74,6.73,7
MT4188,1,86,116,108.6,21.2,3,181,9.3,3625,,3886.48,5.28,7
MT4095,1,86,116,110.4,17,5,180,9,4124,,4460.74,6.06,7
MT4075,1,86,116,109.4,15.6,5,175,11,2168,,2359.01,3.21,7
MT4158,1,86,116,111.8,22.4,5,179,7.8,4260,,4694.69,6.38,7
MT4138,1,87,117,117.6,13.4,5,181,8,2968,,3227.7,4.39,7
MT4538,1,85,115,99.8,20,5,180,12.6,4364,,4533.6,6.16,7
MT4148,1,84,114,111.4,18.6,5,183,9.3,5163,,5474.92,7.44,7
MT4050,1,82,112,111,14.4,3,181,11.5,4594,,4805.9,6.53,7
MT4038,1,83,113,102.4,15.2,5,183,11.5,3905,,4040.48,5.49,7
MT4289,1,91,121,108.4,18.6,3,181,8.4,4758,,5151.82,7,7
MT4650,1,83,113,100.8,10.6,5,183,8.5,4766,,5098.51,6.93,7
MT4213,1,86,116,108,16.8,5,175,9.4,4351,,4819.46,6.55,7
MT4237,1,88,118,115.2,13.6,5,182,12,4070,,4210.42,5.72,7
MT4149,1,84,114,111,16.2,5,175,12.4,4419,,4732.7,6.43,7
MT4566,1,90,120,104.6,17.4,3,179,8.7,3840,,4190.52,5.69,7
MT4720,1,88,118,101.2,16.4,5,183,9.9,4697,,4947.82,6.72,7
MT4088,1,89,119,101.2,21.6,5,174,9.6,4731,,5258.86,7.15,7
MT4712,1,84,114,102.6,14.8,5,179,8.9,3138,,3416.94,4.64,7
MT4205,1,88,118,102.8,16.2,3,182,10.7,4990,,5238.42,7.12,7
MT4279,1,88,118,93.4,14,5,177,11.3,4416,,4734.77,6.43,7
MT4748,1,82,112,96.6,13.6,5,178,11.2,4191,,4473.32,6.08,7
MT4105,1,82,112,105.4,17.6,5,181,15.1,3603,,3615.87,4.91,7
MT4036,1,79,109,99,11.8,5,172,15.8,5503,,5763.72,7.83,7
MT4161,1,83,113,105.2,14.8,5,181,8.9,3844,,4139.45,5.62,7
MT4180,1,84,114,102.6,15.4,5,180,9.3,4248,,4579.72,6.22,7
MT4150,1,85,115,107.2,12.6,5,182,12,4438,,4591.11,6.24,7
MT4904,1,88,118,105.4,14.8,5,182,12,4205,,4350.07,5.91,7
MT4901,1,78,108,78.2,12.8,5,178,12.9,4162,,4357.32,5.92,7
MT4546,1,90,120,104,14.6,5,180,7.9,4058,,4442.41,6.04,7
MT4087,1,88,118,94.8,20.2,3,176,8.6,4362,,4846.62,6.59,7
MT4818,2,90,120,99.6,16,3,181,9.6,4757,,5083.26,6.91,7
MT4353,2,91,121,113.2,22.2,3,182,9.6,3475,,3692.93,5.02,7
MT4843,2,88,118,105.8,23,3,182,9.7,4547,,4826.82,6.56,7
MT4835,2,90,120,110.8,20.4,7,181,9.4,3890,,4165.99,5.66,7
MT4488,2,90,120,103.8,17.2,3,181,9.8,4267,,4549.57,6.18,7
MT4841,2,89,119,110,21.4,3,183,9,4707,,5007.88,6.8,7
MT4889,2,91,121,109.6,12.4,3,180,9.2,3717,,4011.67,5.45,7
MT4413,2,94,124,124.2,20,3,179,7.5,3073,,3397.59,4.62,7
MT4904,2,89,119,108.8,12.6,3,173,8.4,4203,,4761.33,6.47,7
MT4874,2,89,119,104.6,24.2,3,178,10.4,4847,,5220.12,7.09,7
MT4879,2,95,125,94.8,17.2,5,183,10.9,3547,,3694.94,5.02,7
MT4903,2,87,117,101.2,19.8,5,180,10.4,3464,,3689.2,5.01,7
MT4901,2,78,108,78.8,17,7,180,17.3,4440,,4364.51,5.93,7
MT4363,2,90,120,92.6,17,5,181,9.7,3306,,3528.84,4.79,7
MT4404,2,88,118,102.2,17.4,3,180,9.5,3527,,3794.03,5.15,7
MT4398,2,89,119,103,20.6,5,182,10.2,4352,,4594.24,6.24,7
MT5211,2,79,109,109.6,19.2,5,179,11.1,3508,,3727.59,5.06,7
MT4509,2,92,122,112,20,5,169,9.4,3190,,3658.91,4.97,7
MT4377,2,95,125,105.6,21.4,5,183,9,3271,,3480.09,4.73,7
MT4817,2,87,117,102.4,14.6,3,180,10.6,4455,,4734.04,6.43,7
MT4471,2,79,109,81.6,22.2,9,183,9.1,1833,,1948.03,2.65,7
MT4829,2,91,121,111.2,19.2,3,183,9.9,4022,,4236.77,5.76,7
MT4447,2,93,123,117,21.2,3,181,8.1,3440,,3736.93,5.08,7
MT4902,2,81,111,97.4,29.6,7,182,16.7,4400,,4308.69,5.85,7
MT4390,2,89,119,103.4,27.4,5,182,9.4,3453,,3677.67,5,7
MT4896,2,83,113,103.8,21.4,7,183,13.9,3075,,3095.4,4.21,7
MT4836,2,87,117,107.2,17.6,3,183,8.8,4083,,4353.54,5.92,7
MT4327,2,88,118,96,21.2,3,182,9.1,3874,,4139.72,5.62,7
MT4479,2,89,119,104.8,19,5,183,9.1,4240,,4506.07,6.12,7
MT4807,2,88,118,94.8,19,5,180,8.8,3634,,3939.37,5.35,7
MT4494,2,90,120,104.6,18,5,181,10,3333,,3545.84,4.82,7
MT4489,2,93,123,94.2,40.6,5,183,10.3,3820,,4006.12,5.44,7
MT4886,2,90,120,97.4,20.4,7,184,9.9,4247,,4449.47,6.05,7
MT4830,2,88,118,98,12.4,7,181,12.5,4975,,5145.67,6.99,7
MT4867,2,91,121,105.2,18.2,3,184,9.9,4570,,4787.87,6.51,7
MT4414,2,94,124,89.4,21.8,7,184,9.9,3617,,3789.44,5.15,7
MT4444,2,93,123,111.6,20.8,5,184,10.1,3297,,3446.52,4.68,7
MT4406,2,90,120,103,16.4,7,184,9.5,3590,,3777.85,5.13,7
MT4833,2,95,125,98.2,18,5,179,8.9,3179,,3461.59,4.7,7
MT4457,2,88,118,112.8,17.2,5,181,9.7,3968,,4235.46,5.75,7
MT4879,2,93,123,97.2,21.4,3,179,9.5,3414,,3692.99,5.02,7
MT4886,2,93,123,105.6,25.8,5,182,10.2,4637,,4895.1,6.65,7
MT4902,2,80,110,100.4,25,7,183,11.2,3794,,3938.93,5.35,7
MT4889,2,90,120,112.2,16,5,184,9.7,3358,,3525.9,4.79,7
MT4494,2,89,119,100.8,20.6,7,182,9.7,2819,,2992.48,4.07,7
MT4457,2,88,118,109.8,17.2,3,179,10.4,3969,,4250.65,5.78,7
MT4479,2,88,118,106.8,20.6,5,184,8.2,3164,,3377.39,4.59,7
MT4398,2,89,119,107.2,19.8,7,183,8.8,4457,,4752.32,6.46,7
MT4829,2,96,126,109,17.4,3,181,10.4,4795,,5078.52,6.9,7
MT4843,2,90,120,108.2,19.2,3,179,8.5,4681,,5119.48,6.96,7
MT5211,2,80,110,107.2,14.4,7,181,8.3,2895,,3138.04,4.26,7
MT4874,2,90,120,98,25.2,3,180,9.8,4833,,5181.68,7.04,7
MT4471,2,91,121,93.4,21.4,7,178,9.5,3010,,3274.27,4.45,7
MT4406,2,92,122,95.4,23,5,178,10.4,3701,,3985.9,5.42,7
MT4353,2,93,123,111,18,5,174,8.7,4368,,4903.7,6.66,7
MT4896,2,87,117,101,18.2,7,178,11.5,3056,,3250.84,4.42,7
MT4903,2,87,117,104.4,19.8,5,184,8.1,4489,,4796.97,6.52,7
MT4414,2,95,125,88.6,20.4,7,181,9.6,3772,,4030.7,5.48,7
MT4841,2,90,120,113.8,24.6,5,180,10,4648,,4972.28,6.76,7
MT4327,2,88,118,93.8,15.8,5,176,8.1,3850,,4301.13,5.84,7
MT4904,2,91,121,111.8,17.8,3,182,9.8,4995,,5296.51,7.2,7
MT4807,2,88,118,98.6,21.2,7,183,9.6,3041,,3214.05,4.37,7
MT4377,2,94,124,106.4,18.4,5,181,9.9,4185,,4457.19,6.06,7
MT4447,2,93,123,121.8,16.4,5,183,9.8,4253,,4485.08,6.09,7
MT4901,2,78,108,82.4,22,7,183,12.1,4456,,4579.33,6.22,7
MT4830,2,87,117,105,12.6,5,184,13.9,4786,,4791.57,6.51,7
MT4488,2,91,121,108,19.2,5,183,10.5,4187,,4381.21,5.95,7
MT4444,2,92,122,107,22.2,5,184,9.3,3712,,3914.87,5.32,7
MT4404,2,89,119,114.4,16.2,3,182,10.5,4023,,4232.73,5.75,7
MT4818,2,90,120,111.4,19.4,3,181,10.3,5067,,5372.6,7.3,7
MT4489,2,90,120,97.8,13.2,3,179,10.2,4234,,4544.58,6.17,7
MT4509,2,88,118,108.2,15.8,5,177,7.9,3613,,4022.29,5.47,7
MT4836,2,88,118,110.8,17.2,3,173,9.6,4055,,4533.49,6.16,7
MT4817,2,82,112,103.8,13.2,5,178,9.3,5108,,5568.75,7.57,7
MT4390,2,91,121,99.6,27.8,5,172,9.5,2315,,2606.1,3.54,7
MT4835,2,91,121,110.2,19.6,3,182,9.7,4591,,4873.52,6.62,7
MT4867,2,91,121,104,19.6,5,183,11.6,4929,,5094.24,6.92,7
MT4413,2,95,125,116.8,18.4,5,182,12.5,4461,,4588.69,6.23,7
MT4363,2,79,109,101,18.2,5,183,9.6,4196,,4434.78,6.03,7
MT4833,2,91,121,98.2,18,5,182,10.9,3592,,3762.37,5.11,7
MT4049,1,82,112,98.2,12.6,5,184,13,3423,,3462.8,4.7,8
MT4641,1,82,110,99.4,11.8,3,184,13.1,3670,,3708.41,5.04,8
MT4297,1,89,119,110.2,15.4,3,184,12.9,3376,,3419.18,4.65,8
MT4901,1,80,106,88.4,14.8,3,184,12.6,3060,,3109.81,4.23,8
MT4650,1,83,111,106,10.8,5,184,13.5,2675,,2690.55,3.66,8
MT4543,1,83,113,105.2,10.4,5,183,12.6,2634,,2691.51,3.66,8
MT4095,1,81,112,108.2,14,7,184,12.7,2757,,2798.68,3.8,8
MT4268,1,88,117,116,12.4,3,184,12.6,3098,,3148.43,4.28,8
MT4249,1,86,113,102,12,5,184,12.6,3397,,3452.3,4.69,8
MT4280,1,88,116,104.8,12.8,5,183,12.4,2656,,2720.2,3.7,8
MT4205,1,84,113,103,14.2,5,183,12.7,3173,,3238.56,4.4,8
MT4154,1,88,118,117.2,13,5,184,12.7,2978,,3023.02,4.11,8
MT4152,1,84,112,105.6,15.2,1,184,12.4,3572,,3638.46,4.94,8
MT4087,1,89,120,95.8,15.2,7,183,12.9,2592,,2639.5,3.59,8
MT4179,1,84,112,105.6,11.6,3,184,13.3,3289,,3315.77,4.51,8
MT4720,1,84,113,103.2,12.4,3,184,11.9,3228,,3306.82,4.49,8
MT4257,1,84,112,104.4,13.8,3,183,13.7,3775,,3808.87,5.18,8
MT4284,1,82,108,103.8,12.6,1,183,12.8,3491,,3559.05,4.84,8
MT4634,1,83,110,101.6,12.2,3,184,12.9,3388,,3431.33,4.66,8
MT4712,1,82,110,103.8,12.2,3,184,12.5,3512,,3573.26,4.85,8
MT4547,1,82,109,98.4,11,3,183,12.1,3217,,3306.04,4.49,8
MT4809,1,84,111,95.6,12.4,5,182,12.3,3012,,3105.29,4.22,8
MT4248,1,87,116,99.6,12,5,184,13.1,2804,,2833.34,3.85,8
MT4779,1,84,113,104.2,10.6,5,181,12.4,2841,,2941.82,4,8
MT4138,1,84,112,111,10.6,5,182,10.9,2948,,3087.83,4.2,8
MT4756,1,84,115,101.4,10.4,5,184,13.2,2885,,2911.84,3.96,8
MT4038,1,82,110,97.2,9.2,1,184,12.5,3214,,3270.06,4.44,8
MT4209,1,82,112,116,7.2,3,180,13.7,2929,,3004.53,4.08,8
MT4026,1,81,108,106.4,12,1,184,12.7,2665,,2705.28,3.68,8
MT4324,1,84,112,94.4,11.8,3,183,12,2557,,2630.76,3.57,8
MT4133,1,82,112,109,11.8,5,183,13.1,3066,,3115.02,4.23,8
MT4161,1,85,119,106.4,10.2,5,184,14.2,2416,,2410.38,3.27,8
MT4180,1,82,113,103.6,14,3,184,12.9,3057,,3096.1,4.21,8
MT4299,1,88,116,101.2,12,3,184,12.1,3063,,3130.67,4.25,8
MT4066,1,85,113,94,10,5,184,12.9,3126,,3165.98,4.3,8
MT4220,1,83,112,105.6,11,3,184,12.8,3258,,3303.46,4.49,8
MT4622,1,84,113,104,12.4,1,183,12.8,3697,,3769.07,5.12,8
MT4566,1,90,118,102.6,11.2,5,184,12.6,3004,,3052.9,4.15,8
MT4041,1,82,110,101.8,13.6,5,182,12.2,3055,,3153.22,4.28,8
MT4556,1,81,112,100.2,11.4,3,183,12.9,3197,,3255.59,4.42,8
MT4234,1,89,118,102,10.2,5,181,12.6,2559,,2643.76,3.59,8
MT4241,1,89,117,102,12.2,3,183,12.7,2692,,2747.63,3.73,8
MT4538,1,81,108,93.8,16.2,5,183,12.5,3118,,3189.72,4.33,8
MT4036,1,83,112,98.6,13.2,5,180,12,2753,,2879.62,3.91,8
MT4554,1,85,115,98.4,11.4,5,183,12.6,2890,,2953.1,4.01,8
MT4748,1,83,111,99.4,13.2,3,184,12.5,3193,,3248.69,4.41,8
MT4226,1,88,119,104.6,17,1,183,12.3,3341,,3425.66,4.65,8
MT4201,1,84,112,101,15.8,5,184,12.3,2170,,2212.9,3.01,8
MT4737,1,88,118,99,15.8,5,177,12.3,2845,,3015.98,4.1,8
MT4146,1,91,120,118,15,1,184,13.5,3359,,3378.53,4.59,8
MT4171,1,85,113,117.2,11.4,5,180,13,3304,,3416.69,4.64,8
MT4639,1,81,108,96.6,10.8,3,183,13.5,3528,,3567.9,4.85,8
MT4320,1,85,112,114.8,13,3,184,12.7,3074,,3120.47,4.24,8
MT4149,1,84,111,111,11.6,1,184,13.3,3199,,3225.04,4.38,8
MT4604,1,82,110,105.2,13.8,3,184,13.1,3081,,3113.24,4.23,8
MT4137,1,84,112,93.6,13.6,7,182,12.7,2099,,2154.14,2.93,8
MT4285,1,88,114,100.8,14.4,7,184,12.5,1897,,1930.09,2.62,8
MT4053,1,88,117,95,14.8,7,183,11.4,2542,,2633.16,3.58,8
MT4110,1,83,112,100.2,13,5,184,12.2,2910,,2970.91,4.04,8
MT4276,1,90,119,111.4,11,5,182,13.7,3191,,3237.32,4.4,8
MT4050,1,82,108,105.6,11.4,3,184,12.2,3146,,3211.85,4.36,8
MT4243,1,88,117,106.8,12,5,182,12.3,2780,,2866.11,3.89,8
MT4640,1,83,112,102.4,13.2,3,184,12.1,3459,,3535.42,4.8,8
MT4722,1,85,113,103.4,11.6,5,184,12.9,2815,,2851.01,3.87,8
MT4289,1,90,117,106.4,17.4,1,184,13.2,3593,,3626.42,4.93,8
MT4148,1,84,112,100.6,13.6,5,184,13.5,2864,,2880.65,3.91,8
MT5211,1,81,108,104.2,12.2,7,184,12.6,3399,,3454.33,4.69,8
MT4553,1,85,114,117.2,11.2,5,184,12.6,2719,,2763.26,3.75,8
MT4018,1,90,118,89.6,10.4,5,184,13.7,2499,,2507.72,3.41,8
MT4217,1,84,112,101.4,12.6,3,184,13.7,3352,,3363.69,4.57,8
MT4017,1,88,114,95.6,10,5,184,13,2870,,2903.37,3.94,8
MT4904,1,87,114,102.2,11.6,3,184,12.4,2881,,2934.6,3.99,8
MT4008,1,83,112,99.8,11.6,5,183,12.6,2557,,2612.83,3.55,8
MT4158,1,81,110,100.2,13.6,1,184,11.8,3620,,3712.6,5.04,8
MT4237,1,89,116,114.4,10.8,1,184,12.5,3183,,3238.52,4.4,8
MT4094,1,86,113,91,13.2,7,181,12.7,2073,,2139.21,2.91,8
MT4206,1,86,114,99.4,13.2,5,181,13.1,3151,,3236.75,4.4,8
MT4004,1,85,112,92.8,10.4,5,184,14,3070,,3070,4.17,8
MT4536,1,81,108,93,13,3,184,12.1,2954,,3019.26,4.1,8
MT4019,1,87,116,92,10.2,3,183,12.6,3139,,3207.53,4.36,8
MT4706,1,82,108,93,15.6,3,184,12.9,3111,,3150.79,4.28,8
MT4903,1,85,112,99.8,13.2,3,183,12.8,3321,,3385.74,4.6,8
MT4213,1,84,111,102.6,13.8,3,184,12.5,3157,,3212.06,4.36,8
MT4196,1,84,112,104.2,12.6,5,184,12.4,2849,,2902,3.94,8
MT4567,1,82,111,101,10.4,5,184,13.4,1129,,1136.88,1.54,8
MT4232,1,84,113,109.4,12.8,3,179,12,3184,,3349.05,4.55,8
MT4075,1,88,121,106.2,11.8,5,157,14,1555,,1822.42,2.48,8
MT4055,1,84,111,103.8,11.4,3,178,12.3,3189,,3361.66,4.57,8
MT4574,1,84,112,99.2,14.4,3,183,12.9,3565,,3630.33,4.93,8
MT4088,1,89,119,95.4,11.8,5,180,13.6,2532,,2600.31,3.53,8
MT4546,1,89,118,111.2,12.8,3,184,13.1,1939,,1959.29,2.66,8
MT4105,1,83,110,109,11.2,5,176,13.2,2533,,2672.77,3.63,8
MT4054,1,89,118,96.2,14.8,5,184,12.7,2710,,2750.97,3.74,8
MT4195,1,84,111,107,12.4,3,180,12.7,3027,,3141.04,4.27,8
MT4648,1,84,112,110.8,12.2,1,182,13,3590,,3671.65,4.99,8
MT4188,1,85,112,100.2,13.2,1,182,12.6,2974,,3055.63,4.15,8
MT4279,1,89,117,98.4,12.4,3,169,14,2927,,3186.79,4.33,8
MT4194,1,81,111,107.4,11,3,182,12.9,3111,,3185.42,4.33,8
MT4902,1,82,110,107.4,14,1,180,13.4,3277,,3373.19,4.58,8
MT4150,1,85,113,109.8,13.2,3,167,13,2976,,3317.07,4.51,8
MT4232,1,84,112,110.8,14,3,182,12.9,3143,,3218.18,4.37,8
MT4553,1,84,113,121,12.2,5,184,12.7,2892,,2935.72,3.99,8
MT4019,1,84,112,96.6,12.8,5,184,12.4,3463,,3527.43,4.79,8
MT4712,1,85,110,103.8,11.4,1,184,11.9,3186,,3263.8,4.43,8
MT4622,1,82,111,107.4,13,3,184,12.5,3585,,3647.53,4.96,8
MT4903,1,77,111,104.4,12.4,3,184,12.3,3182,,3244.9,4.41,8
MT4720,1,84,111,99.4,13,5,182,12.5,3034,,3120.84,4.24,8
MT4050,1,82,110,113.2,14.6,5,183,12.4,3400,,3482.18,4.73,8
MT4268,1,88,114,113.8,12.8,3,182,12.1,3007,,3107.21,4.22,8
MT4299,1,89,116,107.6,11,5,184,12.5,2905,,2955.67,4.02,8
MT4094,1,87,113,95.8,12.8,5,184,12.5,1981,,2015.55,2.74,8
MT4641,1,82,108,92.8,11.2,3,184,12.5,3329,,3387.06,4.6,8
MT4706,1,83,109,95.2,14.6,5,184,11.5,3331,,3427.83,4.66,8
MT4226,1,87,113,102,14.2,1,184,13,3722,,3765.28,5.12,8
MT4243,1,87,113,105.8,11.4,5,184,12.4,3151,,3209.62,4.36,8
MT4105,1,81,108,101.8,11.2,7,182,12.4,2782,,2864.9,3.89,8
MT4180,1,83,111,98,15,3,184,13.2,2970,,2997.63,4.07,8
MT4604,1,82,110,107.8,11.6,5,184,12.8,3178,,3222.34,4.38,8
MT4146,1,90,117,116.2,13.6,1,184,12.8,3460,,3508.28,4.77,8
MT4026,1,80,108,97.2,11.4,1,184,12.7,2654,,2694.12,3.66,8
MT4280,1,88,116,101,9.2,5,180,12.8,2765,,2865.88,3.89,8
MT4206,1,86,113,101,11,7,184,12.3,3486,,3554.91,4.83,8
